revenue,net profit,operating profit,interest revenue,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment for employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,BANMEDICA
,17972079000.0,17972079000.0,,2097605000.0,19935559000.0,75965089000.0,1981000.0,,,359304845000.0,,,379240404000.0,16804880000.0,303275315000.0,1430000.0,,1430000.0,-48018000.0,,,,,51320000.0,9754000.0,,,,,,,31061000.0,1439735000.0,,201603,BANVIDA
2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,201603,BANVIDA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,BANVIDA
234000.0,14081000.0,14081000.0,,48051000.0,90798000.0,285000.0,40722000.0,,,51273000.0,,,142071000.0,285000.0,141786000.0,2839055116.0,,2839055116.0,570000.0,52000000.0,-8468000.0,,,71000.0,24000.0,,1000.0,3457000.0,,,,7000.0,1531000.0,,201603,BCI
1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,201603,BCI
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,201603,BCI
92364578000.0,2946581000.0,2946581000.0,,26965872000.0,332736865000.0,457100409000.0,324729000.0,1745228000.0,3600807000.0,312415122000.0,1581546000.0,31273751000.0,645151987000.0,248574642000.0,178018206000.0,576172664.0,130089831000.0,580000000.0,-16533045000.0,283948000.0,3898675000.0,,,74990727000.0,28843577000.0,2004200000.0,1130003000.0,,132409640000.0,,,5053210000.0,11469873000.0,,201603,BESALCO
1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,201603,BESALCO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,BESALCO
