revenue,net profit,operating profit,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,201303,BOLSASTGO
,31275000,31275000,,,,,511000,713000,,,,29932000,,,70650000,125358000,430807000,21732000,,,1204514000,6873000,,1329872000,43249000,899065000,1936860177,,1936860177,-11146000,-20001000,-11064000,,,511000,471000,,3000,60000,,,,368000,,421000,201303,CALICHERA
2.0,0,0,2.0,2.0,2.0,2.0,0,0,2.0,2.0,2.0,0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,2.0,2.0,0,0,2.0,0,0,2.0,2.0,2.0,0.0,2.0,0,201303,CALICHERA
0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,1,1,1,1,0.0,0.0,1,1,0.0,1,1,1,0,0.0,0,1,1,1,0.0,0.0,1,1,0.0,1,1,0.0,0.0,0.0,1,0.0,1,201303,CALICHERA
91367000,-12419000,-12419000,,138350000,,,115338000,,,93582000,90591000,-15583000,8754000,-4251000,7210000,253408000,341548000,299000,10450000,,401179000,,52378000,654587000,274125000,255158000,4150672000,83005000,4213880000,-357000,-6212000,-637000,,,115338000,20551000,277000,,-139000,55591000,,,7148000,,20551000,201303,CAMANCHACA
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,2.0,0,0.0,2.0,2.0,0.0,2.0,0,201303,CAMANCHACA
1,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0.0,1,0.0,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,0.0,1,1,0.0,0.0,1,0.0,1,201303,CAMANCHACA
135935000,4256000,4685000,,187361000,,,164498000,,,84804000,,5907000,1507000,704000,11418000,370706000,234830000,15379000,12939000,,225389000,15670000,3239000,596095000,154959000,155868000,934796001,112145000,934796001,1993000,-2703000,-17087000,,,164498000,9604000,1558000,,-1477000,144236000,,,10989000,,7268000,201303,CAMPOS
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,2.0,0,0.0,2.0,2.0,0.0,2.0,0,201303,CAMPOS
1,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,1,1,1,1,1,1,1,1,0.0,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,0.0,1,1,0.0,0.0,1,0.0,1,201303,CAMPOS
46902000,19398000,19398000,,5259000,,,18393000,915000,,11544000,11252000,20680000,3470000,,78717000,89025000,25286000,,,,218945000,,118230000,307970000,25286000,282684000,383155.00,41000,383155.00,-18160000,,,,,18393000,16641000,,,,1699000,,,78417000,,12781000,201303,CANALISTAS
